trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.4, 'e': 0.95}",20,0,-167.19066175531987,"{0: 9, 1: 3, 2: 4, 3: 2, 4: 2}",0
2,False,"{'a': 0.4, 'e': 0.8999999999999999}",20,0,-204.3931594733942,"{0: 6, 1: 7, 2: 3, 3: 1, 4: 3}",0
3,False,"{'a': 0.4, 'e': 0.8499999999999999}",25,0,-112.95089302544754,"{0: 18, 1: 1, 2: 3, 3: 1, 4: 2}",0
4,False,"{'a': 0.4, 'e': 0.7999999999999998}",30,0,-135.89437755983343,"{0: 20, 1: 3, 2: 4, 3: 1, 4: 2}",0
5,False,"{'a': 0.4, 'e': 0.7499999999999998}",20,0,-160.60887749526816,"{0: 10, 1: 2, 2: 4, 3: 2, 4: 2}",0
6,False,"{'a': 0.4, 'e': 0.6999999999999997}",25,0,-204.0266245696341,"{0: 14, 1: 3, 2: 4, 3: 0, 4: 4}",0
7,False,"{'a': 0.4, 'e': 0.6499999999999997}",20,9,0.9227577953569261,"{0: 9, 1: 1, 2: 1, 3: 0, 4: 0}",1
8,False,"{'a': 0.4, 'e': 0.5999999999999996}",20,0,-46.12729923666495,"{0: 11, 1: 6, 2: 3, 3: 0, 4: 0}",0
9,False,"{'a': 0.4, 'e': 0.5499999999999996}",25,0,-110.66838484130786,"{0: 11, 1: 9, 2: 4, 3: 0, 4: 1}",0
10,False,"{'a': 0.4, 'e': 0.4999999999999996}",30,0,-122.32329036213991,"{0: 13, 1: 11, 2: 5, 3: 0, 4: 1}",0
11,False,"{'a': 0.4, 'e': 0.4499999999999996}",20,0,-54.00777338271887,"{0: 11, 1: 7, 2: 1, 3: 1, 4: 0}",0
12,False,"{'a': 0.4, 'e': 0.39999999999999963}",20,0,-95.68084378969652,"{0: 14, 1: 2, 2: 2, 3: 0, 4: 2}",0
13,False,"{'a': 0.4, 'e': 0.34999999999999964}",20,0,-58.325056269908146,"{0: 13, 1: 5, 2: 1, 3: 0, 4: 1}",0
14,False,"{'a': 0.4, 'e': 0.29999999999999966}",30,0,-60.35341124049506,"{0: 16, 1: 12, 2: 2, 3: 0, 4: 0}",0
15,False,"{'a': 0.4, 'e': 0.24999999999999967}",30,0,-104.11536697288709,"{0: 14, 1: 14, 2: 1, 3: 0, 4: 1}",0
16,False,"{'a': 0.4, 'e': 0.19999999999999968}",25,0,-50.59401356290073,"{0: 12, 1: 13, 2: 0, 3: 0, 4: 0}",0
17,False,"{'a': 0.4, 'e': 0.1499999999999997}",30,0,-25.25460208732369,"{0: 18, 1: 12, 2: 0, 3: 0, 4: 0}",0
18,False,"{'a': 0.4, 'e': 0.09999999999999969}",20,0,-35.6193983946223,"{0: 10, 1: 10, 2: 0, 3: 0, 4: 0}",0
19,False,"{'a': 0.4, 'e': 0.049999999999999684}",20,0,-16.505380095809272,"{0: 12, 1: 8, 2: 0, 3: 0, 4: 0}",0
20,False,"{'a': 0.4, 'e': -3.191891195797325e-16}",20,0,-33.372334997384236,"{0: 11, 1: 9, 2: 0, 3: 0, 4: 0}",0
1,True,"{'a': 0, 'e': 0}",20,0,-42.698393509314855,"{0: 9, 1: 11, 2: 0, 3: 0, 4: 0}",0
2,True,"{'a': 0, 'e': 0}",30,0,-74.98086571492217,"{0: 13, 1: 17, 2: 0, 3: 0, 4: 0}",0
3,True,"{'a': 0, 'e': 0}",30,0,-69.32492154234016,"{0: 14, 1: 16, 2: 0, 3: 0, 4: 0}",0
4,True,"{'a': 0, 'e': 0}",20,0,-45.590933106483824,"{0: 8, 1: 12, 2: 0, 3: 0, 4: 0}",0
5,True,"{'a': 0, 'e': 0}",35,0,-66.36240374875098,"{0: 16, 1: 19, 2: 0, 3: 0, 4: 0}",0
6,True,"{'a': 0, 'e': 0}",25,0,-41.35449844463214,"{0: 13, 1: 12, 2: 0, 3: 0, 4: 0}",0
7,True,"{'a': 0, 'e': 0}",30,0,-37.738827799469924,"{0: 17, 1: 13, 2: 0, 3: 0, 4: 0}",0
8,True,"{'a': 0, 'e': 0}",30,0,-58.85884439906913,"{0: 16, 1: 14, 2: 0, 3: 0, 4: 0}",0
9,True,"{'a': 0, 'e': 0}",30,0,-76.41472300690404,"{0: 13, 1: 17, 2: 0, 3: 0, 4: 0}",0
10,True,"{'a': 0, 'e': 0}",25,0,-37.727762138481374,"{0: 13, 1: 12, 2: 0, 3: 0, 4: 0}",0
