trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.9900498337491681}",25,0,-162.85535999312597,"{0: 13, 1: 2, 2: 8, 3: 0, 4: 2}",0
2,False,"{'a': 0.5, 'e': 0.9801986733067553}",30,0,-182.80762329467225,"{0: 16, 1: 4, 2: 7, 3: 1, 4: 2}",0
3,False,"{'a': 0.5, 'e': 0.9704455335485082}",25,0,-71.47630657854309,"{0: 19, 1: 1, 2: 3, 3: 1, 4: 1}",0
4,False,"{'a': 0.5, 'e': 0.9607894391523232}",20,0,-207.5130094826552,"{0: 11, 1: 1, 2: 2, 3: 2, 4: 4}",0
5,False,"{'a': 0.5, 'e': 0.951229424500714}",20,0,-64.78730335351955,"{0: 13, 1: 2, 2: 3, 3: 2, 4: 0}",0
6,False,"{'a': 0.5, 'e': 0.9417645335842487}",25,0,-261.5377485158125,"{0: 8, 1: 6, 2: 6, 3: 1, 4: 4}",0
7,False,"{'a': 0.5, 'e': 0.9323938199059483}",25,0,-134.1521648128405,"{0: 17, 1: 0, 2: 5, 3: 1, 4: 2}",0
8,False,"{'a': 0.5, 'e': 0.9231163463866358}",20,0,-123.86963721754901,"{0: 11, 1: 3, 2: 4, 3: 0, 4: 2}",0
9,False,"{'a': 0.5, 'e': 0.9139311852712282}",25,0,-54.06391480366814,"{0: 16, 1: 3, 2: 6, 3: 0, 4: 0}",0
10,False,"{'a': 0.5, 'e': 0.9048374180359595}",20,13,-44.62758255194631,"{0: 4, 1: 2, 2: 0, 3: 0, 4: 1}",1
11,False,"{'a': 0.5, 'e': 0.8958341352965282}",25,0,-117.87475783007088,"{0: 13, 1: 1, 2: 9, 3: 2, 4: 0}",0
12,False,"{'a': 0.5, 'e': 0.8869204367171575}",25,18,-14.125443978711019,"{0: 5, 1: 1, 2: 0, 3: 1, 4: 0}",1
13,False,"{'a': 0.5, 'e': 0.8780954309205613}",20,0,-92.87867242714731,"{0: 13, 1: 1, 2: 4, 3: 1, 4: 1}",0
14,False,"{'a': 0.5, 'e': 0.8693582353988059}",20,0,-212.6524808878011,"{0: 8, 1: 2, 2: 5, 3: 2, 4: 3}",0
15,False,"{'a': 0.5, 'e': 0.8607079764250578}",20,0,-58.271456680536915,"{0: 11, 1: 4, 2: 5, 3: 0, 4: 0}",0
16,False,"{'a': 0.5, 'e': 0.8521437889662113}",25,0,-63.107260869562275,"{0: 16, 1: 2, 2: 7, 3: 0, 4: 0}",0
17,False,"{'a': 0.5, 'e': 0.8436648165963837}",20,10,-49.962353186482886,"{0: 6, 1: 0, 2: 2, 3: 2, 4: 0}",1
18,False,"{'a': 0.5, 'e': 0.835270211411272}",25,0,-78.238295532893,"{0: 17, 1: 2, 2: 5, 3: 0, 4: 1}",0
19,False,"{'a': 0.5, 'e': 0.8269591339433623}",20,0,-61.05107984990646,"{0: 16, 1: 1, 2: 1, 3: 1, 4: 1}",0
20,False,"{'a': 0.5, 'e': 0.8187307530779818}",20,0,-28.82022298841414,"{0: 13, 1: 5, 2: 2, 3: 0, 4: 0}",0
21,False,"{'a': 0.5, 'e': 0.8105842459701871}",20,0,-133.8525659641353,"{0: 10, 1: 2, 2: 4, 3: 3, 4: 1}",0
22,False,"{'a': 0.5, 'e': 0.8025187979624785}",25,5,-44.61641976502581,"{0: 13, 1: 1, 2: 6, 3: 0, 4: 0}",1
23,False,"{'a': 0.5, 'e': 0.794533602503334}",20,0,-174.53297095123216,"{0: 10, 1: 2, 2: 4, 3: 1, 4: 3}",0
24,False,"{'a': 0.5, 'e': 0.7866278610665535}",20,0,-54.10100633144214,"{0: 14, 1: 0, 2: 5, 3: 1, 4: 0}",0
25,False,"{'a': 0.5, 'e': 0.7788007830714049}",20,16,7.076000323430729,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
26,False,"{'a': 0.5, 'e': 0.7710515858035663}",25,12,-12.099965829847637,"{0: 11, 1: 0, 2: 1, 3: 1, 4: 0}",1
27,False,"{'a': 0.5, 'e': 0.7633794943368531}",35,0,-130.33546337238755,"{0: 21, 1: 5, 2: 7, 3: 1, 4: 1}",0
28,False,"{'a': 0.5, 'e': 0.7557837414557255}",25,0,-27.763521166828237,"{0: 19, 1: 4, 2: 1, 3: 1, 4: 0}",0
29,False,"{'a': 0.5, 'e': 0.7482635675785653}",25,0,-37.74568110397171,"{0: 20, 1: 2, 2: 2, 3: 0, 4: 1}",0
30,False,"{'a': 0.5, 'e': 0.7408182206817179}",20,0,-22.299898367503253,"{0: 14, 1: 4, 2: 2, 3: 0, 4: 0}",0
31,False,"{'a': 0.5, 'e': 0.7334469562242892}",30,0,-128.93553825129135,"{0: 18, 1: 7, 2: 2, 3: 1, 4: 2}",1
32,False,"{'a': 0.5, 'e': 0.7261490370736909}",20,0,-48.606082687412744,"{0: 15, 1: 2, 2: 2, 3: 0, 4: 1}",0
33,False,"{'a': 0.5, 'e': 0.7189237334319262}",20,0,-126.17252220971623,"{0: 11, 1: 3, 2: 3, 3: 1, 4: 2}",0
34,False,"{'a': 0.5, 'e': 0.7117703227626097}",30,2,-75.17142066026133,"{0: 20, 1: 1, 2: 6, 3: 0, 4: 1}",1
35,False,"{'a': 0.5, 'e': 0.7046880897187134}",30,0,-115.36258593613044,"{0: 23, 1: 3, 2: 1, 3: 0, 4: 3}",0
36,False,"{'a': 0.5, 'e': 0.697676326071031}",20,0,-27.8889038557898,"{0: 15, 1: 0, 2: 5, 3: 0, 4: 0}",0
37,False,"{'a': 0.5, 'e': 0.6907343306373547}",25,0,-89.43096559458998,"{0: 16, 1: 5, 2: 2, 3: 1, 4: 1}",0
38,False,"{'a': 0.5, 'e': 0.6838614092123558}",20,0,-74.13791628532682,"{0: 13, 1: 2, 2: 4, 3: 0, 4: 1}",0
39,False,"{'a': 0.5, 'e': 0.6770568744981647}",20,8,-20.346715045531923,"{0: 8, 1: 1, 2: 3, 3: 0, 4: 0}",1
40,False,"{'a': 0.5, 'e': 0.6703200460356393}",20,0,-51.60361489016327,"{0: 15, 1: 2, 2: 2, 3: 0, 4: 1}",0
41,False,"{'a': 0.5, 'e': 0.6636502501363194}",35,8,-30.791492161749424,"{0: 23, 1: 1, 2: 2, 3: 0, 4: 1}",1
42,False,"{'a': 0.5, 'e': 0.6570468198150567}",20,0,-47.16291932986258,"{0: 15, 1: 3, 2: 1, 3: 0, 4: 1}",0
43,False,"{'a': 0.5, 'e': 0.6505090947233165}",25,0,-34.979293364149434,"{0: 19, 1: 2, 2: 3, 3: 1, 4: 0}",0
44,False,"{'a': 0.5, 'e': 0.6440364210831414}",25,12,-49.23918553489142,"{0: 8, 1: 1, 2: 2, 3: 2, 4: 0}",1
45,False,"{'a': 0.5, 'e': 0.6376281516217733}",20,10,-9.560602892154286,"{0: 7, 1: 1, 2: 2, 3: 0, 4: 0}",1
46,False,"{'a': 0.5, 'e': 0.631283645506926}",20,0,-42.46247789287395,"{0: 12, 1: 4, 2: 4, 3: 0, 4: 0}",0
47,False,"{'a': 0.5, 'e': 0.6250022682827008}",30,0,-45.246025292776814,"{0: 26, 1: 0, 2: 3, 3: 0, 4: 1}",0
48,False,"{'a': 0.5, 'e': 0.6187833918061408}",30,3,-54.995993619065246,"{0: 20, 1: 2, 2: 4, 3: 0, 4: 1}",1
49,False,"{'a': 0.5, 'e': 0.6126263941844161}",30,8,-3.0534800500630537,"{0: 18, 1: 3, 2: 1, 3: 0, 4: 0}",1
50,False,"{'a': 0.5, 'e': 0.6065306597126334}",20,1,-90.35482239172721,"{0: 14, 1: 1, 2: 2, 3: 0, 4: 2}",1
51,False,"{'a': 0.5, 'e': 0.6004955788122659}",20,0,-79.4053823910435,"{0: 13, 1: 3, 2: 2, 3: 1, 4: 1}",0
52,False,"{'a': 0.5, 'e': 0.5945205479701944}",20,11,-8.665162906878495,"{0: 8, 1: 0, 2: 0, 3: 1, 4: 0}",1
53,False,"{'a': 0.5, 'e': 0.5886049696783552}",25,8,-6.6144170530904125,"{0: 14, 1: 1, 2: 2, 3: 0, 4: 0}",1
54,False,"{'a': 0.5, 'e': 0.5827482523739896}",20,4,19.88901302095797,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
55,False,"{'a': 0.5, 'e': 0.5769498103804866}",25,0,-3.85205904895086,"{0: 22, 1: 1, 2: 1, 3: 1, 4: 0}",0
56,False,"{'a': 0.5, 'e': 0.5712090638488149}",25,0,-14.98090042822976,"{0: 21, 1: 1, 2: 2, 3: 1, 4: 0}",0
57,False,"{'a': 0.5, 'e': 0.5655254386995371}",20,10,-9.34249579190785,"{0: 8, 1: 0, 2: 2, 3: 0, 4: 0}",1
58,False,"{'a': 0.5, 'e': 0.559898366565402}",25,0,-26.451186225998896,"{0: 18, 1: 4, 2: 3, 3: 0, 4: 0}",0
