trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.9900498337491681}",25,0,-113.81266984120147,"{0: 14, 1: 4, 2: 5, 3: 1, 4: 1}",0
2,False,"{'a': 0.5, 'e': 0.9801986733067553}",25,0,-105.68807118412619,"{0: 14, 1: 4, 2: 6, 3: 0, 4: 1}",0
3,False,"{'a': 0.5, 'e': 0.9704455335485082}",25,0,-135.79041313140561,"{0: 16, 1: 2, 2: 4, 3: 1, 4: 2}",0
4,False,"{'a': 0.5, 'e': 0.9607894391523232}",35,3,-251.07994167649636,"{0: 14, 1: 2, 2: 10, 3: 4, 4: 2}",1
5,False,"{'a': 0.5, 'e': 0.951229424500714}",20,0,-96.59730987665208,"{0: 13, 1: 3, 2: 2, 3: 0, 4: 2}",0
6,False,"{'a': 0.5, 'e': 0.9417645335842487}",20,0,-120.3548672662961,"{0: 12, 1: 4, 2: 1, 3: 1, 4: 2}",0
7,False,"{'a': 0.5, 'e': 0.9323938199059483}",20,0,-97.63874917479157,"{0: 10, 1: 6, 2: 2, 3: 1, 4: 1}",0
8,False,"{'a': 0.5, 'e': 0.9231163463866358}",35,0,-62.468919029758304,"{0: 25, 1: 3, 2: 7, 3: 0, 4: 0}",0
9,False,"{'a': 0.5, 'e': 0.9139311852712282}",20,0,-156.34221184046942,"{0: 12, 1: 1, 2: 2, 3: 3, 4: 2}",0
10,False,"{'a': 0.5, 'e': 0.9048374180359595}",20,0,-122.80455234793747,"{0: 9, 1: 2, 2: 8, 3: 0, 4: 1}",0
11,False,"{'a': 0.5, 'e': 0.8958341352965282}",35,0,-128.70955748957908,"{0: 25, 1: 3, 2: 4, 3: 1, 4: 2}",0
12,False,"{'a': 0.5, 'e': 0.8869204367171575}",25,0,-94.72817584257288,"{0: 16, 1: 2, 2: 6, 3: 0, 4: 1}",0
13,False,"{'a': 0.5, 'e': 0.8780954309205613}",30,0,-45.47273667911165,"{0: 22, 1: 2, 2: 6, 3: 0, 4: 0}",0
14,False,"{'a': 0.5, 'e': 0.8693582353988059}",20,0,-99.19130074356714,"{0: 10, 1: 1, 2: 8, 3: 1, 4: 0}",0
15,False,"{'a': 0.5, 'e': 0.8607079764250578}",20,0,-92.14149035319537,"{0: 12, 1: 2, 2: 5, 3: 0, 4: 1}",0
16,False,"{'a': 0.5, 'e': 0.8521437889662113}",25,0,-126.22396384251918,"{0: 17, 1: 2, 2: 3, 3: 1, 4: 2}",0
17,False,"{'a': 0.5, 'e': 0.8436648165963837}",20,0,-39.800033255187984,"{0: 14, 1: 1, 2: 5, 3: 0, 4: 0}",0
18,False,"{'a': 0.5, 'e': 0.835270211411272}",20,0,-174.45290307816168,"{0: 11, 1: 2, 2: 2, 3: 2, 4: 3}",0
19,False,"{'a': 0.5, 'e': 0.8269591339433623}",20,10,-17.104152029236733,"{0: 7, 1: 1, 2: 2, 3: 0, 4: 0}",1
20,False,"{'a': 0.5, 'e': 0.8187307530779818}",25,0,-119.25772503044223,"{0: 12, 1: 4, 2: 6, 3: 3, 4: 0}",0
